pert_id,pert_iname,pert_type
TRCN0000230402,PHF20L1,trt_sh
TRCN0000082659,PHLPP2,trt_sh
TRCN0000291112,PHLPP2,trt_sh
TRCN0000291169,PHLPP2,trt_sh
TRCN0000002560,PPP2R5E,trt_sh
TRCN0000195491,PRKDC,trt_sh
TRCN0000196328,PRKDC,trt_sh
TRCN0000197152,PRKDC,trt_sh
TRCN0000001874,PTPN21,trt_sh
TRCN0000001877,PTPN21,trt_sh
TRCN0000001878,PTPN21,trt_sh
TRCN0000002666,PTPN5,trt_sh
TRCN0000356120,PTPN5,trt_sh
TRCN0000356152,PTPN5,trt_sh
TRCN0000056548,PVALB,trt_sh
TRCN0000056550,PVALB,trt_sh
TRCN0000056552,PVALB,trt_sh
TRCN0000128133,PYGO1,trt_sh
TRCN0000149986,PYGO1,trt_sh
TRCN0000219905,PYGO1,trt_sh
TRCN0000015186,QKI,trt_sh
TRCN0000233371,QKI,trt_sh
TRCN0000233375,QKI,trt_sh
TRCN0000073364,RAP1GAP,trt_sh
TRCN0000286103,RBBP4,trt_sh
TRCN0000293554,RBBP4,trt_sh
TRCN0000293556,RBBP4,trt_sh
TRCN0000163546,RBFOX3,trt_sh
TRCN0000163797,RBFOX3,trt_sh
TRCN0000166210,RBFOX3,trt_sh
TRCN0000038920,RBM8A,trt_sh
TRCN0000038921,RBM8A,trt_sh
TRCN0000038922,RBM8A,trt_sh
TRCN0000128570,RCOR1,trt_sh
TRCN0000147486,RCOR1,trt_sh
TRCN0000147958,RCOR1,trt_sh
TRCN0000074228,RFC2,trt_sh
TRCN0000074229,RFC2,trt_sh
TRCN0000300875,RFC2,trt_sh
TRCN0000063704,RIMS3,trt_sh
TRCN0000063706,RIMS3,trt_sh
TRCN0000063707,RIMS3,trt_sh
TRCN0000036200,RNMT,trt_sh
TRCN0000053948,S100A13,trt_sh
TRCN0000040278,SHANK2,trt_sh
TRCN0000040281,SHANK2,trt_sh
TRCN0000040282,SHANK2,trt_sh
TRCN0000245741,SHANK3,trt_sh
TRCN0000245742,SHANK3,trt_sh
TRCN0000245745,SHANK3,trt_sh
TRCN0000018983,SIRT1,trt_sh
TRCN0000218734,SIRT1,trt_sh
TRCN0000229630,SIRT1,trt_sh
TRCN0000232530,SIRT6,trt_sh
TRCN0000232531,SIRT6,trt_sh
TRCN0000358693,SIRT6,trt_sh
TRCN0000015779,SMARCE1,trt_sh
TRCN0000274146,SMARCE1,trt_sh
TRCN0000274203,SMARCE1,trt_sh
TRCN0000018344,SOD1,trt_sh
TRCN0000039808,SOD1,trt_sh
TRCN0000039812,SOD1,trt_sh
TRCN0000036970,SPHK2,trt_sh
TRCN0000036973,SPHK2,trt_sh
TRCN0000359274,SPHK2,trt_sh
TRCN0000073975,STAMBP,trt_sh
TRCN0000218044,STX16,trt_sh
TRCN0000219995,STX16,trt_sh
TRCN0000229991,STX16,trt_sh
TRCN0000147281,SYNE1,trt_sh
TRCN0000147425,SYNE1,trt_sh
TRCN0000148191,SYNE1,trt_sh
TRCN0000053854,SYT1,trt_sh
TRCN0000053855,SYT1,trt_sh
TRCN0000053856,SYT1,trt_sh
TRCN0000016038,TARDBP,trt_sh
TRCN0000016041,TARDBP,trt_sh
TRCN0000276307,TARDBP,trt_sh
TRCN0000274161,TCF4,trt_sh
TRCN0000274163,TCF4,trt_sh
TRCN0000274214,TCF4,trt_sh
TRCN0000021678,TCF7,trt_sh
TRCN0000281257,TCF7,trt_sh
TRCN0000281336,TCF7,trt_sh
TRCN0000232677,TCF7L1,trt_sh
TRCN0000232678,TCF7L1,trt_sh
TRCN0000232679,TCF7L1,trt_sh
TRCN0000174115,TCF7L2,trt_sh
TRCN0000262847,TCF7L2,trt_sh
TRCN0000262848,TCF7L2,trt_sh
TRCN0000037516,TNIK,trt_sh
TRCN0000037517,TNIK,trt_sh
TRCN0000037518,TNIK,trt_sh
TRCN0000342259,TP53,trt_sh
TRCN0000342334,TP53,trt_sh
TRCN0000342335,TP53,trt_sh
TRCN0000004377,UBQLN2,trt_sh
TRCN0000033309,WIF1,trt_sh
TRCN0000033311,WIF1,trt_sh
TRCN0000373888,WIF1,trt_sh
TRCN0000007950,YBX1,trt_sh
